goal,region_id,yr_text,year,future,pressures,resilience,score,status,rgn_name,rgn_code
AO,1,2000,2000,100,32.89,61.38,96.63277000000001,93.26554,North Coast,NC
AO,1,2001,2001,100,32.43,61.31,97.339615,94.67923,North Coast,NC
AO,1,2002,2002,100,31.92,61.06,97.47463499999999,94.94927,North Coast,NC
AO,1,2003,2003,100,31.63,60.79,97.47463499999999,94.94927,North Coast,NC
AO,1,2004,2004,100,32.63,60.57,97.48153500000001,94.96307,North Coast,NC
AO,1,2005,2005,100,33.46,60.27,97.47463499999999,94.94927,North Coast,NC
AO,1,2006,2006,100,34.42,60.38,97.47463499999999,94.94927,North Coast,NC
AO,1,2007,2007,100,34.38,60.61,97.47463499999999,94.94927,North Coast,NC
AO,1,2008,2008,100,33.9,61.03,97.48153500000001,94.96307,North Coast,NC
AO,1,2009,2009,100,32.54,61.28,97.47463499999999,94.94927,North Coast,NC
AO,1,2010,2010,82.56721348285201,31.46,61.4,82.270476741426,81.97374,North Coast,NC
AO,1,2011,2011,62.379755887344004,29.92,61.54,66.409957943672,70.44016,North Coast,NC
AO,1,2012,2012,75.39629144377,30.77,62.89,78.463430721885,81.53057,North Coast,NC
AO,1,2013,2013,84.861593249566,30.73,62.83,83.99238662478301,83.12318,North Coast,NC
AO,1,2014,2014,71.1173498721,29.65,62.44,69.55910993605,68.00087,North Coast,NC
AO,1,2015,2015,82.79613327297099,30.31,65.19,79.1012616364855,75.40639,North Coast,NC
AO,1,2016,2016,77.946139764948,30.49,65.11,76.70985988247399,75.47358,North Coast,NC
AO,2,2000,2000,82.09534378011001,26.14,68.29,74.51582189005501,66.9363,Haida Gwaii,HG
AO,2,2001,2001,80.82743739422101,25.7,68.24,73.9769836971105,67.12653,Haida Gwaii,HG
AO,2,2002,2002,74.74971767346,25.57,67.79,69.70767383673,64.66563,Haida Gwaii,HG
AO,2,2003,2003,72.8041362463,25.49,67.35,68.77471312315,64.74529,Haida Gwaii,HG
AO,2,2004,2004,75.663341421876,26.84,66.94,71.43740071093801,67.21146,Haida Gwaii,HG
AO,2,2005,2005,76.25930604084002,28.2,66.49,71.70721302042,67.15512,Haida Gwaii,HG
AO,2,2006,2006,76.497174685344,29.27,66.11,71.649307342672,66.80144,Haida Gwaii,HG
AO,2,2007,2007,76.99994905694,28.96,66.26,72.24290452846999,67.48586,Haida Gwaii,HG
AO,2,2008,2008,75.57376128558401,28.34,68.37,71.207320642792,66.84088,Haida Gwaii,HG
AO,2,2009,2009,77.20677009429998,26.82,68.54,72.42761004715,67.64845,Haida Gwaii,HG
AO,2,2010,2010,83.82461835285,26.3,71.39,77.446784176425,71.06895,Haida Gwaii,HG
AO,2,2011,2011,75.31942033089601,25.15,71.59,70.32367016544801,65.32792,Haida Gwaii,HG
AO,2,2012,2012,78.610067708232,25.14,72.95,73.268993854116,67.92792,Haida Gwaii,HG
AO,2,2013,2013,85.75471428105,25.22,72.85,79.18073214052501,72.60675,Haida Gwaii,HG
AO,2,2014,2014,84.250586953096,25.25,72.71,77.641958476548,71.03333,Haida Gwaii,HG
AO,2,2015,2015,86.83811866198701,25.2,74.03,78.7924743309935,70.74683,Haida Gwaii,HG
AO,2,2016,2016,74.83849964217599,25.36,73.98,70.359379821088,65.88026,Haida Gwaii,HG
AO,3,2000,2000,79.343866194068,30.72,64.83,74.23362309703401,69.12338,Central Coast,CC
AO,3,2001,2001,78.81319624113901,30.14,64.79,73.9973931205695,69.18159,Central Coast,CC
AO,3,2002,2002,78.62862777613199,29.73,64.32,74.089683888066,69.55074,Central Coast,CC
AO,3,2003,2003,78.32967472185001,29.57,63.84,74.067087360925,69.8045,Central Coast,CC
AO,3,2004,2004,77.779563317748,30.92,63.38,73.792086658874,69.80461,Central Coast,CC
AO,3,2005,2005,76.818489493801,32.32,62.89,73.1868297469005,69.55517,Central Coast,CC
AO,3,2006,2006,76.51626685912498,33.5,62.47,73.15250842956249,69.78875,Central Coast,CC
AO,3,2007,2007,77.32856204920799,33.52,62.59,73.827616024604,70.32667,Central Coast,CC
AO,3,2008,2008,67.216485798198,33.38,63.64,65.36733789909898,63.51819,Central Coast,CC
AO,3,2009,2009,72.61153959259201,31.76,63.77,70.20235979629601,67.79318,Central Coast,CC
AO,3,2010,2010,56.886830206706996,30.28,63.83,56.6701701033535,56.45351,Central Coast,CC
AO,3,2011,2011,52.632020984868,29.6,63.9,53.34814549243401,54.06427,Central Coast,CC
AO,3,2012,2012,57.827063709719994,29.63,65.57,57.21983685486,56.61261,Central Coast,CC
AO,3,2013,2013,53.598743241399994,29.11,65.38,53.21219162069999,52.82564,Central Coast,CC
AO,3,2014,2014,68.83481529881,29.74,65.29,64.527742649405,60.22067,Central Coast,CC
AO,3,2015,2015,75.16939117683499,29.83,69,68.4219905884175,61.67459,Central Coast,CC
AO,3,2016,2016,70.47537858833101,30.11,68.92,64.9220342941655,59.36869,Central Coast,CC
AO,4,2000,2000,100,30.44,64.77,88.616385,77.23277,North Vancouver Island,NV
AO,4,2001,2001,96.10347854048,30.17,64.73,86.63693927024,77.1704,North Vancouver Island,NV
AO,4,2002,2002,85.71662309653802,29.86,64.5,81.362126548269,77.00763,North Vancouver Island,NV
AO,4,2003,2003,83.167257271366,29.8,64.23,79.345598635683,75.52394,North Vancouver Island,NV
AO,4,2004,2004,85.33432538418302,30.43,64.01,81.28354769209152,77.23277,North Vancouver Island,NV
AO,4,2005,2005,85.52882634551999,31.16,63.74,81.34961317275999,77.1704,North Vancouver Island,NV
AO,4,2006,2006,85.83845714144002,31.7,63.63,81.50442857072001,77.1704,North Vancouver Island,NV
AO,4,2007,2007,86.51995666088,31.17,64.43,81.84517833044,77.1704,North Vancouver Island,NV
AO,4,2008,2008,69.257760800743,30.54,64.91,67.96209540037151,66.66643,North Vancouver Island,NV
AO,4,2009,2009,72.02525361896002,29.29,65.54,70.94297180948001,69.86069,North Vancouver Island,NV
AO,4,2010,2010,76.373640355904,28.91,66.11,74.192740177952,72.01184,North Vancouver Island,NV
AO,4,2011,2011,76.269182183664,27.82,66.66,72.983081091832,69.69698,North Vancouver Island,NV
AO,4,2012,2012,77.02078444566,27.89,67.73,72.34967722283,67.67857,North Vancouver Island,NV
AO,4,2013,2013,87.38032995128398,28.04,67.81,81.476184975642,75.57204,North Vancouver Island,NV
AO,4,2014,2014,90.64008940352099,27.05,67.71,83.3588497017605,76.07761,North Vancouver Island,NV
AO,4,2015,2015,95.581817527903,28.1,71.04,86.1006137639515,76.61941,North Vancouver Island,NV
AO,4,2016,2016,93.48313418816099,28.3,70.96,85.0832120940805,76.68329,North Vancouver Island,NV
AO,5,2000,2000,100,31.06,67.1,93.839125,87.67825,West Vancouver Island,WV
AO,5,2001,2001,100,30.54,67.46,93.82224500000001,87.64449,West Vancouver Island,WV
AO,5,2002,2002,100,30.02,67.03,93.82224500000001,87.64449,West Vancouver Island,WV
AO,5,2003,2003,100,29.73,66.58,93.82224500000001,87.64449,West Vancouver Island,WV
AO,5,2004,2004,97.943970223,30.67,66.15,92.8111101115,87.67825,West Vancouver Island,WV
AO,5,2005,2005,97.44538768094401,31.83,65.68,92.54493884047201,87.64449,West Vancouver Island,WV
AO,5,2006,2006,92.056723341948,32.74,65.28,88.384746670974,84.71277,West Vancouver Island,WV
AO,5,2007,2007,81.618688282002,32.77,65.95,80.188314141001,78.75794,West Vancouver Island,WV
AO,5,2008,2008,74.88028443120001,31.43,66.63,75.0148922156,75.1495,West Vancouver Island,WV
AO,5,2009,2009,89.997114249308,29.56,67.38,87.15147212465399,84.30583,West Vancouver Island,WV
AO,5,2010,2010,83.116648017777,28.62,68.02,79.68753900888849,76.25843,West Vancouver Island,WV
AO,5,2011,2011,95.626618982064,27.89,68.75,88.920449491032,82.21428,West Vancouver Island,WV
