goal,r_squared,aic,fixed_effects,intercept,pred_status,rgn_namecentral_coast,rgn_namehaida_gwaii,rgn_namenorth_coast,rgn_namenorth_vancouver_island,rgn_namepacific_offshore,rgn_namestrait_of_georgia,rgn_namewest_vancouver_island
AO,0.16711769271820787,753.7307955757176,none,48.5871***,0.2953***,NA,NA,NA,NA,NA,NA,NA
AO,0.5055557936552069,703.6388530629545,region,60.6539***,0.1036°,-7.6854***,-0.2362,8.3017**,4.5466*,NA,-2.0754,10.5179***
BD,0.028531393931283233,648.2747834868775,none,85.4709***,0.0799*,NA,NA,NA,NA,NA,NA,NA
BD,0.9037705738791428,359.0130655350607,region,94.1260***,-0.0098,-0.8265*,-0.3365,-1.2974***,-0.2354,4.0311***,-6.8838***,1.7643***
CPP,0.27201848064332923,410.52537629845426,none,60.2597***,0.3945***,NA,NA,NA,NA,NA,NA,NA
CPP,0.9597383528690437,92.01720699995946,region,89.6832***,0.1051***,-0.1949,-0.2082,0.0314,-0.5362***,NA,-4.6783***,-0.1806
CSS,0.4866752440698102,204.70527278987333,none,35.4467***,0.6444***,NA,NA,NA,NA,NA,NA,NA
CSS,0.9899956943134798,-230.62077785529027,region,90.3574***,0.0972***,-0.0907**,-0.0799*,-0.1098***,-0.1652***,NA,-2.2884***,-0.3528***
CW,0.3047955214452073,479.6721152331948,none,51.2665***,0.4056***,NA,NA,NA,NA,NA,NA,NA
CW,0.994068440697856,-24.363139086100638,region,85.2113***,0.0046,1.3898***,5.3014***,1.6839***,3.3503***,NA,-3.5777***,-0.0019
FIS,0.06615277664804009,986.3306312417325,none,32.1044***,0.1908**,NA,NA,NA,NA,NA,NA,NA
FIS,0.4861197049042416,928.1211899174724,region,16.7330***,-0.1078°,46.2118***,37.4774***,33.2005***,38.2677***,-10.0454,NA,42.2814***
FP,0.19677195884092635,1085.404873569878,none,28.2453***,0.3746***,NA,NA,NA,NA,NA,NA,NA
FP,0.7044934406650731,968.0843423012432,region,32.7573***,0.0072,26.5093***,13.0076**,16.1275***,24.5561***,-28.6470***,25.0551***,24.2418***
HAB,-0.004791207762300687,740.078794542072,none,95.3972***,0.0203,NA,NA,NA,NA,NA,NA,NA
HAB,0.8041063488953597,537.4872369469217,region,100.6957***,-0.0081,-3.7269***,-2.8823***,-0.8538,-1.2470°,0.0794,-12.2079***,-0.0136
HS,0.473460163088128,305.31176681712196,none,38.0192***,0.6181***,NA,NA,NA,NA,NA,NA,NA
HS,0.9769668632359227,-39.46227890215831,region,84.9383***,0.1527***,-0.2096**,-0.2107**,-0.2125**,-0.4091***,NA,-3.4089***,-0.3234***
ICO,-0.004719223448429011,303.0432437292369,none,68.5456***,-0.0068,NA,NA,NA,NA,NA,NA,NA
ICO,0.852767787879576,63.90906120741391,region,67.4027***,0.0005,0.0004,0.0004,-0.0048,0.6130***,1.6914***,1.1612***,1.6916***
Index,0.3991251272136147,823.6823665853815,none,29.5304***,0.6096***,NA,NA,NA,NA,NA,NA,NA
Index,0.8901985187670604,612.8028646239236,region,68.6931***,0.0595,3.5366***,6.1469***,4.5817***,4.6556***,-15.5620***,2.4198*,8.2300***
LSP,0.009963717367303948,1009.6434950028439,none,38.1334***,0.1196,NA,NA,NA,NA,NA,NA,NA
LSP,0.566966638675756,926.8663918023049,region,62.3690***,-0.0687,-7.4617,15.7908*,-30.4116***,-37.4608***,NA,-41.1464***,4.2124
LV,0.2787226555194039,452.6658645915135,none,59.3100***,0.2779***,NA,NA,NA,NA,NA,NA,NA
LV,0.41840817228875526,436.7541909080352,region,68.9161***,0.1594**,NA,-1.8925*,-2.2354**,-2.4366**,NA,1.3984,-0.4657
LVF,-0.007325349719737639,597.1353618816836,none,71.0058***,-0.0354,NA,NA,NA,NA,NA,NA,NA
LVF,0.5611689235041026,522.1179736831309,region,78.0755***,-0.0931*,NA,-2.5433*,-11.2638***,-5.7328***,NA,0.8669,-2.3002°
LVO,0.0037812809282714577,484.9759959764176,none,86.3448***,0.0477,NA,NA,NA,NA,NA,NA,NA
LVO,0.5337105249177558,416.84940931598726,region,94.0836***,-0.0734*,NA,0.3084,5.5495***,1.0876,NA,5.6452***,3.7661***
SAL,-0.08102222737847953,625.0819212114645,region,56.3985***,-0.0051,3.7139,3.7139,-0.0000,3.7139,NA,3.7139,3.7139
SAL,-0.013026362152928739,614.4292344536716,none,59.3101***,-0.0060,NA,NA,NA,NA,NA,NA,NA
SP,0.02032380244098342,1025.2513069472268,none,48.4510***,0.1487°,NA,NA,NA,NA,NA,NA,NA
SP,0.5661578684511139,927.6737319689414,region,59.9194***,-0.0468,2.0685,13.8017***,-9.4062**,-12.3328***,12.0608***,-13.8093***,8.8607**
SPP,0.19444063673853684,615.4202857173444,none,68.0485***,0.2316***,NA,NA,NA,NA,NA,NA,NA
SPP,0.9987105162180879,-201.8697420489757,region,86.4451***,0.0008,2.0822***,2.2270***,-1.6423***,0.7919***,7.9648***,-1.5235***,3.5386***
TR,0.053959988836849604,175.39632028391225,none,120.5132***,-0.2739,NA,NA,NA,NA,NA,NA,NA
TR,0.2653895614440155,172.2963263618173,region,134.7171***,-0.4107*,NA,NA,-9.9049*,0.3538,NA,2.8907,0.2971
