term,estimate,std.error,statistic,p.value,goal,n_obs,years,yr_lag,r_squared,aic,bic
(Intercept),-0.004586119725506414,0.017503673714493264,-0.2620089816750325,0.7938701098875908,AO,105,15,1,0.79807130819331,-212.52004806195998,-201.98113210904143
res_reg,-0.04006734558121815,0.042259331572375367,-0.9481301310361921,0.3454193649810724,AO,105,15,1,0.79807130819331,-212.52004806195998,-201.98113210904143
(Intercept),-0.012477883275899099,0.01878412544706145,-0.6642781060563623,0.5080883455202032,CPP,105,15,1,0.418644764704656,-163.66760895360028,-153.12869300068172
res_reg,0.025554848898115896,0.046453069287250875,0.550121860411266,0.5835003586956874,CPP,105,15,1,0.418644764704656,-163.66760895360028,-153.12869300068172
(Intercept),-0.012477883275899099,0.01878412544706145,-0.6642781060563623,0.5080883455202032,CSS,105,15,1,0.418644764704656,-163.66760895360028,-153.12869300068172
res_reg,0.025554848898115896,0.046453069287250875,0.550121860411266,0.5835003586956874,CSS,105,15,1,0.418644764704656,-163.66760895360028,-153.12869300068172
(Intercept),-0.016794806977814502,0.015007950479881715,-1.1190606605697482,0.26587778711666377,CW,105,15,1,0.9858394941000541,-519.4168701738073,-508.87795422088874
res_reg,0.02002147950794238,0.020207177481419304,0.990810296309434,0.32424339442299777,CW,105,15,1,0.9858394941000541,-519.4168701738073,-508.87795422088874
(Intercept),-0.02773179906900741,0.00815596549069727,-3.4001859253375235,9.365658602507591e-4,FIS,120,15,1,0.6463747356189011,-346.0012307064694,-334.9184922086068
res_reg,0.01681729309086271,0.08732630839291551,0.19257991549574127,0.8476398778761739,FIS,120,15,1,0.6463747356189011,-346.0012307064694,-334.9184922086068
(Intercept),-0.023905169110456866,0.012833384815100792,-1.8627329776886392,0.06514382593155824,HAB,120,15,1,0.8645423274660357,-350.9722942325365,-339.8895557346739
res_reg,0.008144738520869377,0.04483572480900199,0.1816573403366527,0.8561829590134958,HAB,120,15,1,0.8645423274660357,-350.9722942325365,-339.8895557346739
(Intercept),-0.015961987324446505,0.01865210445363771,-0.8557740690398851,0.39396629628168045,ICO,120,15,1,0.8645423275129267,-262.7297665629715,-251.64702806510886
res_reg,-0.012441550089001848,0.06516446241296413,-0.19092538522233965,0.8489328277949529,ICO,120,15,1,0.8645423275129267,-262.7297665629715,-251.64702806510886
(Intercept),0.03284702056716484,0.05829548150637281,0.5634574021585881,0.5744237245402504,MAR,105,15,1,0.9858394941704489,-239.88630453632493,-229.34738858340637
res_reg,-0.051717252168569657,0.0784908734064142,-0.6588951036483609,0.5115242141095488,MAR,105,15,1,0.9858394941704489,-239.88630453632493,-229.34738858340637
(Intercept),-0.021486121456637492,0.007168613818164661,-2.99724911979405,0.003361818311132178,SAL,120,15,1,0.8645423252640163,-488.40398921666065,-477.321250718798
res_reg,0.013352736642003156,0.025044834284539012,0.5331533237672981,0.5949933233625444,SAL,120,15,1,0.8645423252640163,-488.40398921666065,-477.321250718798
(Intercept),-0.024835408000564975,0.010373725464342254,-2.3940683687776447,0.018338921321949034,SPP,120,15,1,0.8645423274037113,-401.1869000152755,-390.1041615174129
res_reg,0.04337966492442859,0.0362424650119843,1.1969292074941436,0.23388423372970318,SPP,120,15,1,0.8645423274037113,-401.1869000152755,-390.1041615174129
(Intercept),-0.018237453372292833,0.02671646134486509,-0.6826298264907779,0.49659410006607285,AO,98,14,2,0.8006435671563098,-123.98814116988035,-113.730748404009
res_reg,-0.04849940716427038,0.06596766977406025,-0.7351996414361945,0.4641294528185136,AO,98,14,2,0.8006435671563098,-123.98814116988035,-113.730748404009
(Intercept),-0.025130120078615134,0.0407507185220058,-0.61667918971894,0.5390031916962714,CPP,98,14,2,0.3221067310678208,-37.571285699022894,-27.31389293315155
res_reg,0.07527870796592773,0.09112662779564842,0.8260890344229606,0.4109381585899249,CPP,98,14,2,0.3221067310678208,-37.571285699022894,-27.31389293315155
(Intercept),-0.025130120078615134,0.0407507185220058,-0.61667918971894,0.5390031916962714,CSS,98,14,2,0.3221067310678208,-37.571285699022894,-27.31389293315155
res_reg,0.07527870796592773,0.09112662779564842,0.8260890344229606,0.4109381585899249,CSS,98,14,2,0.3221067310678208,-37.571285699022894,-27.31389293315155
(Intercept),-0.0268113114149036,0.018699641738462013,-1.4337874377431117,0.15509812188382147,CW,98,14,2,0.9874269300972353,-459.3694619974991,-449.11206923162774
res_reg,0.03096629394225564,0.025560445989547046,1.2114927084965308,0.22887795847845338,CW,98,14,2,0.9874269300972353,-459.3694619974991,-449.11206923162774
(Intercept),-0.05603256259022299,0.014486454341221955,-3.867928015399837,1.9255385912490632e-4,FIS,112,14,2,0.5690688099638669,-223.21268802623152,-212.41076656306186
res_reg,0.049216165038691945,0.1503066105056541,0.3274384597797884,0.7440008561061968,FIS,112,14,2,0.5690688099638669,-223.21268802623152,-212.41076656306186
(Intercept),-0.05576885270359656,0.016228830010070344,-3.436406239327836,8.512761229651842e-4,HAB,112,14,2,0.8655083411848113,-283.20695181511763,-272.40503035194797
res_reg,0.045306578816457214,0.057750592107666796,0.7845214596586353,0.4345348134281063,HAB,112,14,2,0.8655083411848113,-283.20695181511763,-272.40503035194797
(Intercept),-0.03513712386067011,0.026749452366244934,-1.3135642322535754,0.19191134549640204,ICO,112,14,2,0.8655083417839365,-173.2675135760777,-162.46559211290804
res_reg,-0.014924490229606697,0.095188421610342,-0.15678892429481348,0.875718121460324,ICO,112,14,2,0.8655083417839365,-173.2675135760777,-162.46559211290804
(Intercept),0.016225984788826784,0.09371868013859523,0.17313501176959703,0.8629340955483444,MAR,98,14,2,0.9874269304298534,-149.90517440631936,-139.64778164044802
res_reg,-0.033739440054685335,0.12810359127739554,-0.26337622324440496,0.792862667310817,MAR,98,14,2,0.9874269304298534,-149.90517440631936,-139.64778164044802
(Intercept),-0.045223583224148704,0.013497700888218198,-3.350465653274568,0.0011285234644218768,SAL,112,14,2,0.8578766687489896,-345.90382272965064,-335.101901266481
res_reg,0.0365943134101771,0.047819587938379544,0.7652578156326364,0.44586797965749136,SAL,112,14,2,0.8578766687489896,-345.90382272965064,-335.101901266481
(Intercept),-0.05033389266057629,0.01489129394247128,-3.380088584311643,0.0010245730607348366,SPP,112,14,2,0.8655083417559711,-302.1297103922142,-291.3277889290445
