year,csd_code,csd_name,pop,inc,edu,hsg,lab,cwb,community_type,gnr
1981,1001101,"DIVISION NO.  1, SUBD. V",1,NA,NA,NA,NA,NA,Non-Aboriginal Communities,NA
1981,1001105,PORTUGAL COVE SOUTH,371,58,24,92,75,62,Non-Aboriginal Communities,NA
1981,1001109,BISCAY BAY,92,NA,NA,NA,NA,67,Non-Aboriginal Communities,NA
1981,1001113,TREPASSEY,1473,61,28,85,82,64,Non-Aboriginal Communities,NA
1981,1001120,ST. SHOTT'S,239,NA,NA,NA,NA,65,Non-Aboriginal Communities,NA
1981,1001124,"DIVISION NO.  1, SUBD. U",2385,59,23,80,65,57,Non-Aboriginal Communities,NA
1981,1001128,"DIVISION NO.  1, SUBD. Z",907,63,34,76,73,62,Non-Aboriginal Communities,NA
1981,1001131,RENEWS-CAPPAHAYDEN,578,65,35,86,81,67,Non-Aboriginal Communities,NA
1981,1001136,FERMEUSE,584,65,23,89,84,65,Non-Aboriginal Communities,NA
1981,1001140,PORT KIRWAN,164,NA,NA,NA,NA,58,Non-Aboriginal Communities,NA
1981,1001144,AQUAFORTE,200,NA,NA,NA,NA,63,Non-Aboriginal Communities,NA
1981,1001149,FERRYLAND,795,61,29,74,66,58,Non-Aboriginal Communities,NA
1981,1001155,"DIVISION NO.  1, SUBD. W",494,54,15,77,76,55,Non-Aboriginal Communities,NA
1981,1001169,ST. VINCENT'S-ST. STEPHENS-PETER'S RIVER,796,58,12,86,75,58,Non-Aboriginal Communities,NA
1981,1001174,GASKIERS-POINT LA HAYE,505,42,12,76,60,47,Non-Aboriginal Communities,NA
1981,1001178,ST. MARY'S,701,51,18,80,75,56,Non-Aboriginal Communities,NA
1981,1001181,RIVERHEAD,431,50,16,84,55,51,Non-Aboriginal Communities,NA
1981,1001186,ADMIRAL'S BEACH,362,52,16,82,74,56,Non-Aboriginal Communities,NA
1981,1001192,ST. JOSEPH'S,262,58,24,89,76,62,Non-Aboriginal Communities,NA
1981,1001197,MOUNT CARMEL-MITCHELL'S BROOK-ST. CATHERINE'S,699,56,23,81,68,57,Non-Aboriginal Communities,NA
1981,1001203,"DIVISION NO.  1, SUBD. X",495,58,16,92,71,59,Non-Aboriginal Communities,NA
1981,1001207,COLINET,318,54,26,79,65,56,Non-Aboriginal Communities,NA
1981,1001214,"DIVISION NO.  1, SUBD. C",337,NA,NA,NA,NA,57,Non-Aboriginal Communities,NA
1981,1001219,BRANCH,462,53,19,93,85,63,Non-Aboriginal Communities,NA
1981,1001225,POINT LANCE,141,NA,NA,NA,NA,58,Non-Aboriginal Communities,NA
1981,1001228,ST. BRIDE'S,599,53,14,81,73,55,Non-Aboriginal Communities,NA
1981,1001234,"DIVISION NO.  1, SUBD. B",680,54,22,71,70,54,Non-Aboriginal Communities,NA
1981,1001239,PLACENTIA,2204,59,26,85,72,61,Non-Aboriginal Communities,NA
1981,1001243,FRESHWATER,1276,51,20,72,71,53,Non-Aboriginal Communities,NA
1981,1001246,"JERSEY SIDE, PLACENTIA BAY",641,55,29,82,71,59,Non-Aboriginal Communities,NA
1981,1001250,DUNVILLE,1817,60,35,81,77,63,Non-Aboriginal Communities,NA
1981,1001254,FOX HARBOUR,538,53,9,77,57,49,Non-Aboriginal Communities,NA
1981,1001259,"DIVISION NO.  1, SUBD. A",1162,49,26,88,71,59,Non-Aboriginal Communities,NA
1981,1001263,LONG HARBOUR-MOUNT ARLINGTON HEIGHTS,660,58,26,92,72,62,Non-Aboriginal Communities,NA
1981,1001267,SOUTHERN HARBOUR,772,58,23,92,86,65,Non-Aboriginal Communities,NA
1981,1001270,ARNOLD'S COVE,1124,65,21,93,85,66,Non-Aboriginal Communities,NA
1981,1001274,COME-BY-CHANCE,337,60,25,84,77,61,Non-Aboriginal Communities,NA
1981,1001277,SUNNYSIDE,703,67,21,95,73,64,Non-Aboriginal Communities,NA
1981,1001281,CHANCE COVE,498,56,9,82,78,56,Non-Aboriginal Communities,NA
1981,1001285,NORMAN'S COVE-LONG COVE,1152,57,25,91,67,60,Non-Aboriginal Communities,NA
1981,1001289,CHAPEL ARM,689,56,32,89,67,61,Non-Aboriginal Communities,NA
1981,1001293,"DIVISION NO.  1, SUBD. Y",1171,59,28,92,70,62,Non-Aboriginal Communities,NA
1981,1001298,WHITBOURNE,1233,57,25,77,75,59,Non-Aboriginal Communities,NA
1981,1001304,"DIVISION NO.  1, SUBD. E",3296,58,21,86,75,60,Non-Aboriginal Communities,NA
1981,1001308,WHITEWAY,291,52,19,98,69,59,Non-Aboriginal Communities,NA
1981,1001312,HEART'S DELIGHT-ISLINGTON,899,57,18,89,65,58,Non-Aboriginal Communities,NA
1981,1001316,HEART'S DESIRE,416,47,22,70,72,53,Non-Aboriginal Communities,NA
1981,1001321,"DIVISION NO.  1, SUBD. F",826,56,23,90,83,63,Non-Aboriginal Communities,NA
1981,1001325,HEART'S CONTENT,625,56,19,86,65,56,Non-Aboriginal Communities,NA
1981,1001328,NEW PERLICAN,350,44,9,86,43,46,Non-Aboriginal Communities,NA
1981,1001332,WINTERTON,753,61,14,93,81,62,Non-Aboriginal Communities,NA
1981,1001335,HANT'S HARBOUR,542,62,19,84,79,61,Non-Aboriginal Communities,NA
1981,1001339,"DIVISION NO.  1, SUBD. G",3067,55,21,87,71,58,Non-Aboriginal Communities,NA
1981,1001343,OLD PERLICAN,709,70,14,91,84,65,Non-Aboriginal Communities,NA
1981,1001347,BAY DE VERDE,786,58,16,89,77,60,Non-Aboriginal Communities,NA
1981,1001352,SMALL POINT-BROAD COVE-BLACKHEAD-ADAMS COVE,539,60,34,94,68,64,Non-Aboriginal Communities,NA
1981,1001357,"DIVISION NO.  1, SUBD. H",562,57,27,88,66,60,Non-Aboriginal Communities,NA
1981,1001361,SALMON COVE,786,56,26,95,68,61,Non-Aboriginal Communities,NA
1981,1001365,VICTORIA,1870,53,17,87,64,55,Non-Aboriginal Communities,NA
1981,1001370,CARBONEAR,5335,63,32,92,73,65,Non-Aboriginal Communities,NA
1981,1001374,"DIVISION NO.  1, SUBD. I",700,58,27,76,60,55,Non-Aboriginal Communities,NA
1981,1001375,BRYANT'S COVE,380,51,21,85,62,55,Non-Aboriginal Communities,NA
1981,1001377,HARBOUR GRACE,2988,65,30,89,72,64,Non-Aboriginal Communities,NA
1981,1001381,HARBOUR GRACE SOUTH,362,60,24,89,72,61,Non-Aboriginal Communities,NA
1981,1001385,UPPER ISLAND COVE,2025,55,24,84,66,57,Non-Aboriginal Communities,NA
1981,1001391,"DIVISION NO.  1, SUBD. J",20,NA,NA,NA,NA,NA,Non-Aboriginal Communities,NA
1981,1001394,BISHOP'S COVE,369,55,22,92,59,57,Non-Aboriginal Communities,NA
1981,1001397,TILTON,575,51,21,88,66,57,Non-Aboriginal Communities,NA
1981,1001399,SPANIARD'S BAY,2125,58,28,86,67,60,Non-Aboriginal Communities,NA
1981,1001405,"DIVISION NO.  1, SUBD. K",705,48,10,84,67,52,Non-Aboriginal Communities,NA
1981,1001409,BAY ROBERTS,4512,66,26,92,75,65,Non-Aboriginal Communities,NA
1981,1001415,"DIVISION NO.  1, SUBD. L",1334,64,26,95,76,65,Non-Aboriginal Communities,NA
1981,1001421,"DIVISION NO.  1, SUBD. M",1401,49,15,89,69,56,Non-Aboriginal Communities,NA
1981,1001426,NORTH RIVER,245,NA,NA,NA,NA,75,Non-Aboriginal Communities,NA
1981,1001429,CLARKE'S BEACH,1009,59,20,93,72,61,Non-Aboriginal Communities,NA
1981,1001434,SOUTH RIVER,645,66,33,85,81,66,Non-Aboriginal Communities,NA
1981,1001437,CUPIDS,706,67,29,91,73,65,Non-Aboriginal Communities,NA
1981,1001441,"DIVISION NO.  1, SUBD. N",385,49,24,84,57,53,Non-Aboriginal Communities,NA
1981,1001446,BRIGUS,898,56,21,92,66,59,Non-Aboriginal Communities,NA
1981,1001452,"DIVISION NO.  1, SUBD. O",834,47,14,75,63,50,Non-Aboriginal Communities,NA
1981,1001456,COLLIERS,819,53,22,78,67,55,Non-Aboriginal Communities,NA
1981,1001461,CONCEPTION HARBOUR,917,58,22,81,67,57,Non-Aboriginal Communities,NA
1981,1001464,AVONDALE,890,61,22,83,72,59,Non-Aboriginal Communities,NA
1981,1001469,HARBOUR MAIN-CHAPEL COVE-LAKEVIEW,1303,62,27,78,73,60,Non-Aboriginal Communities,NA
1981,1001472,HOLYROOD,1789,66,41,97,79,71,Non-Aboriginal Communities,NA
1981,1001478,"DIVISION NO.  1, SUBD. P",631,56,25,82,70,58,Non-Aboriginal Communities,NA
1981,1001481,LAWRENCE POND,46,NA,NA,NA,NA,NA,Non-Aboriginal Communities,NA
1981,1001485,CONCEPTION BAY SOUTH,10856,66,32,91,78,67,Non-Aboriginal Communities,NA
1981,1001486,"DIVISION NO.  1, SUBD. Q",2292,56,25,92,77,62,Non-Aboriginal Communities,NA
