year,pfma,taxa,fn,n_lic
1984,11,salmon,FALSE,1
1984,12,salmon,FALSE,1
1984,13,salmon,FALSE,1
1984,14,salmon,FALSE,1
1984,15,salmon,FALSE,1
1984,16,salmon,FALSE,1
1984,17,salmon,FALSE,1
1984,18,salmon,FALSE,1
1984,19,salmon,FALSE,1
1984,20,salmon,FALSE,1
1984,21,salmon,FALSE,1
1984,23,salmon,FALSE,1
1984,24,salmon,FALSE,1
1984,25,salmon,FALSE,1
1984,26,salmon,FALSE,1
1984,27,salmon,FALSE,1
1984,28,salmon,FALSE,1
1984,29,salmon,FALSE,1
1984,121,salmon,FALSE,1
1989,1,bivalve,FALSE,32
1989,10,bivalve,FALSE,22
1989,12,bivalve,FALSE,12
1989,13,bivalve,FALSE,224
1989,14,bivalve,FALSE,421
1989,15,bivalve,FALSE,624
1989,16,bivalve,FALSE,821
1989,17,bivalve,FALSE,374
1989,18,bivalve,FALSE,374
1989,19,bivalve,FALSE,386
1989,20,bivalve,FALSE,395
1989,23,bivalve,FALSE,462
1989,24,bivalve,FALSE,462
1989,25,bivalve,FALSE,462
1989,26,bivalve,FALSE,462
1989,27,bivalve,FALSE,462
1989,28,bivalve,FALSE,400
1989,29,bivalve,FALSE,786
1989,102,bivalve,FALSE,10
1990,1,bivalve,FALSE,91
1990,1,crab,FALSE,29
1990,2,crab,FALSE,29
1990,3,crab,FALSE,83
1990,4,crab,FALSE,83
1990,5,crab,FALSE,83
1990,6,crab,FALSE,83
1990,7,crab,FALSE,83
1990,8,crab,FALSE,83
1990,9,crab,FALSE,83
1990,10,bivalve,FALSE,22
1990,10,crab,FALSE,83
1990,12,bivalve,FALSE,11
1990,13,bivalve,FALSE,426
1990,14,bivalve,FALSE,516
1990,15,bivalve,FALSE,610
1990,16,bivalve,FALSE,700
1990,17,bivalve,FALSE,440
1990,18,bivalve,FALSE,440
1990,19,bivalve,FALSE,451
1990,20,bivalve,FALSE,462
1990,20,crab,FALSE,121
1990,21,crab,FALSE,121
1990,23,bivalve,FALSE,455
1990,23,crab,FALSE,121
1990,24,bivalve,FALSE,455
1990,24,crab,FALSE,121
1990,25,bivalve,FALSE,455
1990,25,crab,FALSE,121
1990,26,bivalve,FALSE,455
1990,26,crab,FALSE,121
1990,27,bivalve,FALSE,455
1990,27,crab,FALSE,121
1990,28,bivalve,FALSE,184
1990,29,bivalve,FALSE,635
1990,101,crab,FALSE,29
1990,102,bivalve,FALSE,69
1990,102,crab,FALSE,29
1990,103,crab,FALSE,29
1990,104,crab,FALSE,29
1990,105,crab,FALSE,29
1990,106,crab,FALSE,29
1990,107,crab,FALSE,29
1990,108,crab,FALSE,29
1990,109,crab,FALSE,29
1990,110,crab,FALSE,29
1990,121,crab,FALSE,121
1990,123,crab,FALSE,121
1990,124,crab,FALSE,121
1990,125,crab,FALSE,121
1990,126,crab,FALSE,121
1990,127,crab,FALSE,121
1990,130,crab,FALSE,29
1990,142,crab,FALSE,29
1991,1,bivalve,FALSE,50
1991,1,crab,FALSE,18
1991,1,rockfish,FALSE,2193
1991,2,crab,FALSE,18
1991,2,rockfish,FALSE,2193
1991,3,crab,FALSE,38
1991,3,rockfish,FALSE,2193
1991,4,crab,FALSE,38
1991,4,rockfish,FALSE,2193
1991,5,crab,FALSE,38
1991,5,rockfish,FALSE,2193
1991,6,crab,FALSE,38
1991,6,rockfish,FALSE,2193
1991,7,crab,FALSE,38
1991,7,rockfish,FALSE,2193
1991,8,crab,FALSE,38
1991,8,rockfish,FALSE,2193
1991,9,crab,FALSE,38
1991,9,rockfish,FALSE,2193
1991,10,bivalve,FALSE,22
1991,10,crab,FALSE,38
1991,10,rockfish,FALSE,2193
1991,11,rockfish,FALSE,2193
1991,12,bivalve,FALSE,12
1991,12,rockfish,FALSE,2193
1991,13,bivalve,FALSE,323
1991,14,bivalve,FALSE,598
1991,15,bivalve,FALSE,521
1991,16,bivalve,FALSE,796
1991,17,bivalve,FALSE,365
1991,18,bivalve,FALSE,365
1991,19,bivalve,FALSE,377
1991,20,bivalve,FALSE,386
1991,20,crab,FALSE,63
1991,20,rockfish,FALSE,2193
1991,21,crab,FALSE,63
1991,21,rockfish,FALSE,2193
1991,23,bivalve,FALSE,352
1991,23,crab,FALSE,63
1991,23,rockfish,FALSE,2193
1991,24,bivalve,FALSE,352
1991,24,crab,FALSE,63
1991,24,rockfish,FALSE,2193
1991,25,bivalve,FALSE,352
1991,25,crab,FALSE,63
1991,25,rockfish,FALSE,2193
1991,26,bivalve,FALSE,352
1991,26,crab,FALSE,63
1991,26,rockfish,FALSE,2193
1991,27,bivalve,FALSE,352
1991,27,crab,FALSE,63
1991,27,rockfish,FALSE,2193
1991,28,bivalve,FALSE,198
1991,29,bivalve,FALSE,575
1991,101,crab,FALSE,18
1991,101,rockfish,FALSE,2193
1991,102,bivalve,FALSE,28
1991,102,crab,FALSE,18
1991,102,rockfish,FALSE,2193
1991,103,crab,FALSE,18
1991,103,rockfish,FALSE,2193
1991,104,crab,FALSE,18
1991,104,rockfish,FALSE,2193
1991,105,crab,FALSE,18
1991,105,rockfish,FALSE,2193
1991,106,crab,FALSE,18
1991,106,rockfish,FALSE,2193
1991,107,crab,FALSE,18
1991,107,rockfish,FALSE,2193
1991,108,crab,FALSE,18
1991,108,rockfish,FALSE,2193
1991,109,crab,FALSE,18
1991,109,rockfish,FALSE,2193
1991,110,crab,FALSE,18
1991,110,rockfish,FALSE,2193
1991,111,rockfish,FALSE,2193
1991,121,crab,FALSE,63
1991,121,rockfish,FALSE,2193
1991,123,crab,FALSE,63
1991,123,rockfish,FALSE,2193
1991,124,crab,FALSE,63
1991,124,rockfish,FALSE,2193
1991,125,crab,FALSE,63
1991,125,rockfish,FALSE,2193
1991,126,crab,FALSE,63
1991,126,rockfish,FALSE,2193
1991,127,crab,FALSE,63
1991,127,rockfish,FALSE,2193
1991,130,crab,FALSE,18
1991,130,rockfish,FALSE,2193
1991,142,crab,FALSE,18
1991,142,rockfish,FALSE,2193
1992,1,bivalve,FALSE,33
1992,1,crab,FALSE,19
1992,1,processing,FALSE,9
1992,1,rockfish,FALSE,1296
1992,2,crab,FALSE,19
1992,2,rockfish,FALSE,1296
1992,3,crab,FALSE,40
1992,3,rockfish,FALSE,1296
1992,4,crab,FALSE,40
1992,4,rockfish,FALSE,1296
