rgn_name,year,species,stockid,catch,rgn_catch,rgn_ass_catch_prop
West Vancouver Island,2015,arrowtooth_flounder,NA,5330347.78,32733550.720067725,NA
Strait of Georgia,2015,arrowtooth_flounder,NA,35.14,16916651.25803751,NA
North Coast,2015,arrowtooth_flounder,NA,581635.78,6183163.396933077,NA
Haida Gwaii,2015,arrowtooth_flounder,NA,4155514.66,13542664.750681318,NA
Central Coast,2015,arrowtooth_flounder,NA,325361.13,4916529.47,NA
North Vancouver Island,2015,arrowtooth_flounder,NA,83759.22,5466401.905034657,NA
Aristazabal Island,2015,arrowtooth_flounder,NA,675.23,130331.65999999999,NA
West Vancouver Island,2014,arrowtooth_flounder,NA,8685772.6,22189020.67017055,NA
Strait of Georgia,2014,arrowtooth_flounder,NA,13.31,15508684.950623112,NA
North Coast,2014,arrowtooth_flounder,NA,298468.85,8738613.755689513,NA
Haida Gwaii,2014,arrowtooth_flounder,NA,2937390.34,9029312.29,NA
Central Coast,2014,arrowtooth_flounder,NA,40406.19,4845805.251217306,NA
North Vancouver Island,2014,arrowtooth_flounder,NA,4227.06,5490220.951330182,NA
Aristazabal Island,2014,arrowtooth_flounder,NA,0,1330071.9520534652,NA
West Vancouver Island,2013,arrowtooth_flounder,NA,6885810.14,17316756.11883684,NA
Strait of Georgia,2013,arrowtooth_flounder,NA,41.32,14096211.830460355,NA
North Coast,2013,arrowtooth_flounder,NA,310464.54,4330308.408733,NA
Haida Gwaii,2013,arrowtooth_flounder,NA,893639.68,6216991.811604084,NA
Central Coast,2013,arrowtooth_flounder,NA,154916.8,9412649.495147534,NA
North Vancouver Island,2013,arrowtooth_flounder,NA,13191.68,4996359.600110408,NA
Aristazabal Island,2013,arrowtooth_flounder,NA,1353.03,679871.7443152436,NA
Pacific Offshore,2013,arrowtooth_flounder,NA,0,30041.54,NA
West Vancouver Island,2012,arrowtooth_flounder,NA,4336806.55,15713811.249980953,NA
Strait of Georgia,2012,arrowtooth_flounder,NA,29.78,11309120.898615398,NA
North Coast,2012,arrowtooth_flounder,NA,61561.59,3888577.477974049,NA
Haida Gwaii,2012,arrowtooth_flounder,NA,501377.66,10845063.119959434,NA
Central Coast,2012,arrowtooth_flounder,NA,216982.21,5370408.079975308,NA
North Vancouver Island,2012,arrowtooth_flounder,NA,14270.2,5365299.907356744,NA
Pacific Offshore,2012,arrowtooth_flounder,NA,0,14818.8,NA
West Vancouver Island,2011,arrowtooth_flounder,NA,2544172.4,15620818.084793031,NA
North Coast,2011,arrowtooth_flounder,NA,1115948.06,8595484.047202013,NA
Haida Gwaii,2011,arrowtooth_flounder,NA,1152313.83,7319205.81,NA
Central Coast,2011,arrowtooth_flounder,NA,131842.59,5212590.872784705,NA
North Vancouver Island,2011,arrowtooth_flounder,NA,4928.56,6452203.007632233,NA
West Vancouver Island,2010,arrowtooth_flounder,NA,179187.08,10583536.314029172,NA
Strait of Georgia,2010,arrowtooth_flounder,NA,19.98,7873037.449448899,NA
North Coast,2010,arrowtooth_flounder,NA,98623.92,3841450.283543457,NA
