assessid,stockid,stocklong,scientificname,FisheryType,region,areaid,areaname
ISC-ALBANPAC-1950-2012-PONS,ALBANPAC,Albacore tuna North Pacific,Thunnus alalunga,Tuna and Marlin,US West Coast,Multinational-ISC-NPAC,North Pacific Ocean
DFO-PAC-BIGSKA3CD-1954-2011-OSGOOD,BIGSKA3CD,Big skate West Coast Vancouver Island,Raja binoculata,Sharks Rays and Skates,Canada West Coast,Canada-DFO-WCVANI,West Coast of Vancouver Island
DFO-PAC-BIGSKA4B-1996-2011-OSGOOD,BIGSKA4B,Big skate Strait of Georgia,Raja binoculata,Sharks Rays and Skates,Canada West Coast,Canada-DFO-SOG,Straight of Georgia
DFO-PAC-BIGSKA5AB-1954-2011-OSGOOD,BIGSKA5AB,Big skate Queen Charlotte Sound,Raja binoculata,Sharks Rays and Skates,Canada West Coast,Canada-DFO-5AB,Queen Charlotte Sound
DFO-PAC-BIGSKA5CDE-1954-2011-OSGOOD,BIGSKA5CDE,Big skate Hecate Strait,Raja binoculata,Sharks Rays and Skates,Canada West Coast,Canada-DFO-HS,Hecate Strait
DFO-PAC-BOCACCBCW-1935-2012-CHING,BOCACCBCW,Bocaccio British Columbia Waters,Sebastes paucispinis,Rockfish,Canada West Coast,Canada-DFO-BCW,British Columbia Waters
DFO-CROCKWCVANISOGQCI-1945-2009-STANTON,CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Sebastes pinniger,Rockfish,Canada West Coast,Canada-DFO-WCVANI-SOG-QCI,West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands
DFO-PAC-ESOLEHS-1944-2001-COLLIE,ESOLEHS,English sole Hecate Strait,Parophrys vetulus,Flatfish,Canada West Coast,Canada-DFO-HS,Hecate Strait
DFO-EULAPCOASTFRDU-1900-2012-WATSON,EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Thaleichthys pacificus,Forage Fish,Canada West Coast,Canada-DFO-PCOASTFRDU,Pacific Coast of Canada Fraser River Designatable Unit
DFO-HERRCC-1951-2015-WATSON,HERRCC,Pacific herring Central Coast,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-CC,Central Coast
DFO-HERRPRD-1951-2015-WATSON,HERRPRD,Pacific herring Prince Rupert District,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-PRD,Prince Rupert District
DFO-HERRQCI-1951-2015-WATSON,HERRQCI,Pacific herring Queen Charlotte Islands,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-QCI,Queen Charlotte Islands
DFO-HERRSOG-1951-2015-WATSON,HERRSOG,Pacific herring Straight of Georgia,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-SOG,Straight of Georgia
DFO-HERRWCVANI-1951-2015-WATSON,HERRWCVANI,Pacific herring West Coast of Vancouver Island,Clupea pallasii,Forage Fish,Canada West Coast,Canada-DFO-WCVANI,West Coast of Vancouver Island
DFO-PAC-LINGCODSOG-1927-2014-OSGOOD,LINGCODSOG,Lingcod Strait of Georgia,Ophiodon elongatus,Other Marine,Canada West Coast,Canada-DFO-SOG,Straight of Georgia
DFO-PAC-LNOSESKA3CD-1954-2011-OSGOOD,LNOSESKA3CD,Longnose skate West Coast Vancouver Island,Raja rhina,Sharks Rays and Skates,Canada West Coast,Canada-DFO-WCVANI,West Coast of Vancouver Island
DFO-PAC-LNOSESKA4B-1996-2011-OSGOOD,LNOSESKA4B,Longnose Skate Strait of Georgia,Raja rhina,Sharks Rays and Skates,Canada West Coast,Canada-DFO-SOG,Straight of Georgia
