stockid,stocklong,areaid
BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW
CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI
ESOLEHS,English sole Hecate Strait,Canada-DFO-HS
EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU
HERRCC,Pacific herring Central Coast,Canada-DFO-CC
HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI
HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG
HERRWCVANI,Pacific herring West Coast of Vancouver Island,Canada-DFO-WCVANI
LINGCODSOG,Lingcod Strait of Georgia,Canada-DFO-SOG
PANDALSMA14,Northern shrimp SMA 14,Canada-DFO-SMA-14
PANDALSMAFR,Northern shrimp SMA FR,Canada-DFO-SMA-FR
PANDALSMAPRD,Northern shrimp SMA PRD,Canada-DFO-SMA-PRD
PCOD5AB,Pacific cod Queen Charlotte Sound,Canada-DFO-5AB
PCODHS,Pacific cod Hecate Strait,Canada-DFO-HS
PCODWCVANI,Pacific cod West Coast of Vancouver Island,Canada-DFO-WCVANI
PERCHQCI,Pacific Ocean perch Queen Charlotte Islands,Canada-DFO-QCI
PERCHWCVANI,Pacific Ocean perch West Coast of Vancouver Island,Canada-DFO-WCVANI
RSOLE5AB,Rock sole Queen Charlotte Sound,Canada-DFO-5AB
RSOLEHSTR,Rock sole Hecate Strait,Canada-DFO-HS
SABLEFPCAN,Sablefish Pacific Coast of Canada,Canada-DFO-PCOAST
SSHRIMPSMAPRD,Sidestripe shrimp SMA PRD,Canada-DFO-SMA-PRD
SSSHRIMPSMA14,Sidestripe shrimp SMA 14,Canada-DFO-SMA-14
SSSHRIMPSMAFR,Sidestripe shrimp SMA FR,Canada-DFO-SMA-FR
