saup_taxonkey,saup_taxonsciname,saup_taxoncomname,saup_taxongroup,ram_stockid,ram_stocklong,ram_areaid,ram_areacode
600318,Theragra chalcogramma,Alaska pollock,Medium benthopelagics (30 - 89 cm),,,,
100077,Miscellaneous aquatic invertebrates,Aquatic invertebrates,Other demersal invertebrates,,,,
600517,Atheresthes stomias,Arrowtooth flounder,Small to medium flatfishes (<90 cm),,,,
690064,Saxidomus gigantea,Butter clam,Other demersal invertebrates,,,,
600244,Oncorhynchus tshawytscha,Chinook salmon,Large benthopelagics (>=90 cm),,,,
600241,Oncorhynchus keta,Chum salmon,Large benthopelagics (>=90 cm),,,,
290004,Bivalvia,Clams,Other demersal invertebrates,,,,
190195,Mollusca,"Clams, seasnails, squids, octopuses",Cephalopods,,,,
600245,Oncorhynchus kisutch,Coho salmon,Large demersals (>=90 cm),,,,
390013,Decapoda,"Crabs, lobsters, shrimps","Lobsters, crabs",,,,
690115,Cancer magister,Dungeness crab,"Lobsters, crabs",,,,
600256,Thaleichthys pacificus,Eulachon,Small pelagics (<30 cm),EULAPCOASTFRDU,Eulachon Pacific Coast of Canada Fraser River DU,Canada-DFO-PCOASTFRDU,sog
300061,Pleuronectiformes,Flatfishes,Small to medium flatfishes (<90 cm),ESOLEHS,English sole Hecate Strait,Canada-DFO-HS,hs
300061,Pleuronectiformes,Flatfishes,Small to medium flatfishes (<90 cm),RSOLE5AB,Rock sole Queen Charlotte Sound,Canada-DFO-5AB,qci
300061,Pleuronectiformes,Flatfishes,Small to medium flatfishes (<90 cm),RSOLEHSTR,Rock sole Hecate Strait,Canada-DFO-HS,hs
590269,Tresus,Gaper clams,Other demersal invertebrates,,,,
100239,Marine groundfishes not identified,Groundfishes,Medium demersals (30 - 89 cm),,,,
400043,Clupeidae,"Herrings, sardines, menhadens",Small pelagics (<30 cm),,,,
400314,Carangidae,"Jacks, pompanos",Medium pelagics (30 - 89 cm),,,,
600509,Ophiodon elongatus,Lingcod,Large demersals (>=90 cm),LINGCODSOG,Lingcod Strait of Georgia,Canada-DFO-SOG,sog
290022,Malacostraca,"Lobsters, crabs, shrimps, krill",Shrimps,PANDALSMA14,Northern shrimp SMA 14,Canada-DFO-SMA-14,all
290022,Malacostraca,"Lobsters, crabs, shrimps, krill",Shrimps,PANDALSMAFR,Northern shrimp SMA FR,Canada-DFO-SMA-FR,all
290022,Malacostraca,"Lobsters, crabs, shrimps, krill",Shrimps,PANDALSMAPRD,Northern shrimp SMA PRD,Canada-DFO-SMA-PRD,all
290022,Malacostraca,"Lobsters, crabs, shrimps, krill",Shrimps,SSHRIMPSMAPRD,Sidestripe shrimp SMA PRD,Canada-DFO-SMA-PRD,all
290022,Malacostraca,"Lobsters, crabs, shrimps, krill",Shrimps,SSSHRIMPSMA14,Sidestripe shrimp SMA 14,Canada-DFO-SMA-14,all
290022,Malacostraca,"Lobsters, crabs, shrimps, krill",Shrimps,SSSHRIMPSMAFR,Sidestripe shrimp SMA FR,Canada-DFO-SMA-FR,all
400416,Scombridae,"Mackerels, tunas, bonitos",Large pelagics (>=90 cm),,,,
490097,Brachyura,Marine crabs,"Lobsters, crabs",,,,
100039,Marine fishes not identified,Marine fishes nei,Medium demersals (30 - 89 cm),,,,
600308,Gadus macrocephalus,Pacific cod,Large demersals (>=90 cm),PCOD5AB,Pacific cod Queen Charlotte Sound,Canada-DFO-5AB,all
600308,Gadus macrocephalus,Pacific cod,Large demersals (>=90 cm),PCODHS,Pacific cod Hecate Strait,Canada-DFO-HS,hs
600308,Gadus macrocephalus,Pacific cod,Large demersals (>=90 cm),PCODWCVANI,Pacific cod West Coast of Vancouver Island,Canada-DFO-WCVANI,wcvi
690283,Crassostrea gigas,Pacific cupped oyster,Other demersal invertebrates,,,,
690284,Panopea abrupta,Pacific geoduck,Other demersal invertebrates,,,,
600514,Hippoglossus stenolepis,Pacific halibut,Large flatfishes (>=90 cm),,,,
601520,Clupea pallasii pallasii,Pacific herring,Medium pelagics (30 - 89 cm),HERRCC,Pacific herring Central Coast,Canada-DFO-CC,cc
601520,Clupea pallasii pallasii,Pacific herring,Medium pelagics (30 - 89 cm),HERRQCI,Pacific herring Queen Charlotte Islands,Canada-DFO-QCI,qci
601520,Clupea pallasii pallasii,Pacific herring,Medium pelagics (30 - 89 cm),HERRSOG,Pacific herring Straight of Georgia,Canada-DFO-SOG,sog
601520,Clupea pallasii pallasii,Pacific herring,Medium pelagics (30 - 89 cm),HERRWCVANI,Pacific herring West Coast of Vancouver Island,Canada-DFO-WCVANI,wcvi
600504,Sebastes alutus,Pacific ocean perch,Medium demersals (30 - 89 cm),PERCHQCI,Pacific Ocean perch Queen Charlotte Islands,Canada-DFO-QCI,qci
600504,Sebastes alutus,Pacific ocean perch,Medium demersals (30 - 89 cm),PERCHWCVANI,Pacific Ocean perch West Coast of Vancouver Island,Canada-DFO-WCVANI,wvci
100339,Marine pelagic fishes not identified,Pelagic fishes,Medium pelagics (30 - 89 cm),,,,
600240,Oncorhynchus gorbuscha,Pink salmon,Medium demersals (30 - 89 cm),,,,
600239,Oncorhynchus mykiss,Rainbow trout,Large benthopelagics (>=90 cm),,,,
400573,Sebastidae,"Rockfishes, rockcods, thornyheads",Medium demersals (30 - 89 cm),BOCACCBCW,Bocaccio British Columbia Waters,Canada-DFO-BCW,all
400573,Sebastidae,"Rockfishes, rockcods, thornyheads",Medium demersals (30 - 89 cm),CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,wcvi
400573,Sebastidae,"Rockfishes, rockcods, thornyheads",Medium demersals (30 - 89 cm),CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,sog
400573,Sebastidae,"Rockfishes, rockcods, thornyheads",Medium demersals (30 - 89 cm),CROCKWCVANISOGQCI,Canary rockfish West Coast of Vancouver Island and Straight of Georgia and Queen Charlotte Islands,Canada-DFO-WCVANI-SOG-QCI,qci
600512,Anoplopoma fimbria,Sablefish,Large bathydemersals (>=90 cm),SABLEFPCAN,Sablefish Pacific Coast of Canada,Canada-DFO-PCOAST,all
200004,Elasmobranchii,"Sharks, rays, skates",Large sharks (>=90 cm),,,,
600243,Oncorhynchus nerka,Sockeye salmon,Medium pelagics (30 - 89 cm),,,,
400019,Rajidae,Stingrays,Large rays (>=90 cm),,,,
600255,Hypomesus pretiosus,Surf smelt,Small pelagics (<30 cm),,,,
600226,Xiphias gladius,Swordfish,Large pelagics (>=90 cm),,,,
290013,Scyphozoa,True jellyfishes,Jellyfish,,,,
490143,Ostreidae,True oysters,Other demersal invertebrates,,,,
