value,rgn_id,n_cells,year,zone
21,8,3,2010,3nm_offshore
25,8,0,2010,3nm_offshore
41,8,6808,2010,3nm_offshore
42,8,0,2010,3nm_offshore
45,8,513,2010,3nm_offshore
46,8,17,2010,3nm_offshore
71,8,963,2010,3nm_offshore
73,8,20,2010,3nm_offshore
74,8,6,2010,3nm_offshore
NA,8,1020301,2010,3nm_offshore
21,6,18937,2010,3nm_offshore
25,6,575,2010,3nm_offshore
41,6,68135,2010,3nm_offshore
42,6,727,2010,3nm_offshore
45,6,5342,2010,3nm_offshore
46,6,1622,2010,3nm_offshore
71,6,4365,2010,3nm_offshore
73,6,5808,2010,3nm_offshore
74,6,11958,2010,3nm_offshore
NA,6,6819789,2010,3nm_offshore
21,5,4974,2010,3nm_offshore
25,5,113,2010,3nm_offshore
41,5,93017,2010,3nm_offshore
42,5,2127,2010,3nm_offshore
45,5,6301,2010,3nm_offshore
46,5,4094,2010,3nm_offshore
71,5,7459,2010,3nm_offshore
73,5,4541,2010,3nm_offshore
74,5,5837,2010,3nm_offshore
NA,5,4897736,2010,3nm_offshore
21,4,1186,2010,3nm_offshore
25,4,166,2010,3nm_offshore
41,4,168084,2010,3nm_offshore
42,4,2211,2010,3nm_offshore
45,4,7839,2010,3nm_offshore
46,4,4870,2010,3nm_offshore
71,4,3806,2010,3nm_offshore
73,4,6516,2010,3nm_offshore
74,4,2295,2010,3nm_offshore
NA,4,6928955,2010,3nm_offshore
21,3,212,2010,3nm_offshore
25,3,30,2010,3nm_offshore
41,3,63612,2010,3nm_offshore
42,3,89,2010,3nm_offshore
45,3,3408,2010,3nm_offshore
46,3,515,2010,3nm_offshore
71,3,2432,2010,3nm_offshore
73,3,1365,2010,3nm_offshore
74,3,1561,2010,3nm_offshore
NA,3,5635214,2010,3nm_offshore
21,2,145,2010,3nm_offshore
25,2,20,2010,3nm_offshore
41,2,51576,2010,3nm_offshore
42,2,0,2010,3nm_offshore
45,2,814,2010,3nm_offshore
46,2,30,2010,3nm_offshore
71,2,6130,2010,3nm_offshore
73,2,5229,2010,3nm_offshore
74,2,4914,2010,3nm_offshore
NA,2,7373808,2010,3nm_offshore
21,1,628,2010,3nm_offshore
25,1,56,2010,3nm_offshore
41,1,126161,2010,3nm_offshore
42,1,992,2010,3nm_offshore
45,1,5806,2010,3nm_offshore
46,1,304,2010,3nm_offshore
71,1,5603,2010,3nm_offshore
73,1,1808,2010,3nm_offshore
74,1,522,2010,3nm_offshore
NA,1,8712657,2010,3nm_offshore
21,1,12736,2010,1km_inland
25,1,5244,2010,1km_inland
41,1,4023529,2010,1km_inland
42,1,3908,2010,1km_inland
45,1,906,2010,1km_inland
46,1,1393,2010,1km_inland
71,1,2687,2010,1km_inland
73,1,5877,2010,1km_inland
74,1,4316,2010,1km_inland
NA,1,178705,2010,1km_inland
21,2,1503,2010,1km_inland
25,2,1182,2010,1km_inland
41,2,2583116,2010,1km_inland
42,2,2352,2010,1km_inland
45,2,242,2010,1km_inland
46,2,622,2010,1km_inland
71,2,4963,2010,1km_inland
73,2,19779,2010,1km_inland
74,2,85497,2010,1km_inland
NA,2,115577,2010,1km_inland
21,3,1834,2010,1km_inland
25,3,952,2010,1km_inland
41,3,3800378,2010,1km_inland
42,3,2194,2010,1km_inland
45,3,549,2010,1km_inland
46,3,715,2010,1km_inland
71,3,512,2010,1km_inland
73,3,1408,2010,1km_inland
74,3,578,2010,1km_inland
NA,3,182797,2010,1km_inland
21,4,19323,2010,1km_inland
25,4,12497,2010,1km_inland
41,4,3832004,2010,1km_inland
42,4,8527,2010,1km_inland
45,4,705,2010,1km_inland
46,4,3099,2010,1km_inland
71,4,1240,2010,1km_inland
73,4,7652,2010,1km_inland
74,4,1527,2010,1km_inland
NA,4,164668,2010,1km_inland
21,5,79580,2010,1km_inland
25,5,28384,2010,1km_inland
41,5,2017035,2010,1km_inland
42,5,4687,2010,1km_inland
45,5,765,2010,1km_inland
46,5,2156,2010,1km_inland
71,5,552,2010,1km_inland
73,5,2216,2010,1km_inland
74,5,964,2010,1km_inland
NA,5,123417,2010,1km_inland
21,6,343766,2010,1km_inland
25,6,135657,2010,1km_inland
41,6,2328025,2010,1km_inland
42,6,2952,2010,1km_inland
45,6,4521,2010,1km_inland
46,6,1317,2010,1km_inland
71,6,3628,2010,1km_inland
73,6,7059,2010,1km_inland
74,6,3462,2010,1km_inland
NA,6,108087,2010,1km_inland
21,8,15,2010,1km_inland
25,8,0,2010,1km_inland
41,8,280438,2010,1km_inland
42,8,0,2010,1km_inland
45,8,120,2010,1km_inland
46,8,163,2010,1km_inland
71,8,254,2010,1km_inland
73,8,3,2010,1km_inland
74,8,10,2010,1km_inland
NA,8,16941,2010,1km_inland
21,NA,1515314,2010,NA
25,NA,680281,2010,NA
41,NA,267312067,2010,NA
42,NA,1917441,2010,NA
45,NA,336920,2010,NA
46,NA,303718,2010,NA
71,NA,473807,2010,NA
73,NA,2446734,2010,NA
74,NA,1673517,2010,NA
NA,NA,343126496,2010,NA
