year,rgn_id,cf_area_km2,area_km2_tot
1990.0,1,12518.1252,21885.5871
1990.0,2,7064.8443,14681.381399999998
1990.0,8,1038.5514,2059.911
1990.0,3,11539.8864,18021.3543
1990.0,4,12139.4025,19146.0519
1990.0,6,9123.5061,17090.572500000002
1990.0,5,8177.1255,13021.8192
2e3,1,12514.6908,21885.5871
2e3,2,7064.8389,14681.381399999998
2e3,8,1038.5514,2059.911
2e3,3,11539.1772,18021.3543
2e3,4,12131.9118,19146.0519
2e3,6,8979.8607,17090.5725
2e3,5,8153.8146,13021.8192
2010.0,1,12514.0005,21885.5871
2010.0,2,7064.8317,14681.381399999998
2010.0,8,1038.5514,2059.911
2010.0,3,11538.453599999999,18021.3543
2010.0,4,12127.953599999999,19146.0519
2010.0,6,8901.6192,17090.5725
2010.0,5,8139.9645,13021.8192
