geo_code,csd_name,characteristic,income_type,year,value
5909014,    Fraser Valley A,Total - Household type including census family structure,Total - Household income statistics,2016,235
5909014,    Fraser Valley A,Total - Household type including census family structure,  Median total income of households ($),2016,31552
5909014,    Fraser Valley A,Total - Household type including census family structure,  Median after-tax income of households ($),2016,29120
5909014,    Fraser Valley A,  Census family households,Total - Household income statistics,2016,100
5909014,    Fraser Valley A,  Census family households,  Median total income of households ($),2016,58240
5909014,    Fraser Valley A,  Census family households,  Median after-tax income of households ($),2016,53248
5909014,    Fraser Valley A,    One-census-family households without additional persons,Total - Household income statistics,2016,90
5909014,    Fraser Valley A,    One-census-family households without additional persons,  Median total income of households ($),2016,58944
5909014,    Fraser Valley A,    One-census-family households without additional persons,  Median after-tax income of households ($),2016,52352
5909014,    Fraser Valley A,      One couple census family without other persons in the household,Total - Household income statistics,2016,80
5909014,    Fraser Valley A,      One couple census family without other persons in the household,  Median total income of households ($),2016,59072
5909014,    Fraser Valley A,      One couple census family without other persons in the household,  Median after-tax income of households ($),2016,54080
5909014,    Fraser Valley A,        Without children,Total - Household income statistics,2016,65
5909014,    Fraser Valley A,        Without children,  Median total income of households ($),2016,55936
5909014,    Fraser Valley A,        Without children,  Median after-tax income of households ($),2016,51072
5909014,    Fraser Valley A,        With children,Total - Household income statistics,2016,15
5909014,    Fraser Valley A,        With children,  Median total income of households ($),2016,0
5909014,    Fraser Valley A,        With children,  Median after-tax income of households ($),2016,0
5909014,    Fraser Valley A,      One lone-parent census family without other persons in the household,Total - Household income statistics,2016,10
5909014,    Fraser Valley A,      One lone-parent census family without other persons in the household,  Median total income of households ($),2016,0
5909014,    Fraser Valley A,      One lone-parent census family without other persons in the household,  Median after-tax income of households ($),2016,0
5909014,    Fraser Valley A,        With a male lone parent,Total - Household income statistics,2016,0
5909014,    Fraser Valley A,        With a male lone parent,  Median total income of households ($),2016,0
5909014,    Fraser Valley A,        With a male lone parent,  Median after-tax income of households ($),2016,0
5909014,    Fraser Valley A,        With a female lone parent,Total - Household income statistics,2016,5
5909014,    Fraser Valley A,        With a female lone parent,  Median total income of households ($),2016,0
5909014,    Fraser Valley A,        With a female lone parent,  Median after-tax income of households ($),2016,0
5909014,    Fraser Valley A,    Other census family households,Total - Household income statistics,2016,10
5909014,    Fraser Valley A,    Other census family households,  Median total income of households ($),2016,0
5909014,    Fraser Valley A,    Other census family households,  Median after-tax income of households ($),2016,0
5909014,    Fraser Valley A,  Non-census-family households,Total - Household income statistics,2016,135
5909014,    Fraser Valley A,  Non-census-family households,  Median total income of households ($),2016,23834
5909014,    Fraser Valley A,  Non-census-family households,  Median after-tax income of households ($),2016,22613
5909016,    Fraser Valley B,Total - Household type including census family structure,Total - Household income statistics,2016,390
5909016,    Fraser Valley B,Total - Household type including census family structure,  Median total income of households ($),2016,45824
5909016,    Fraser Valley B,Total - Household type including census family structure,  Median after-tax income of households ($),2016,42368
5909016,    Fraser Valley B,  Census family households,Total - Household income statistics,2016,215
5909016,    Fraser Valley B,  Census family households,  Median total income of households ($),2016,64e3
5909016,    Fraser Valley B,  Census family households,  Median after-tax income of households ($),2016,58880
5909016,    Fraser Valley B,    One-census-family households without additional persons,Total - Household income statistics,2016,200
5909016,    Fraser Valley B,    One-census-family households without additional persons,  Median total income of households ($),2016,61056
5909016,    Fraser Valley B,    One-census-family households without additional persons,  Median after-tax income of households ($),2016,54528
5909016,    Fraser Valley B,      One couple census family without other persons in the household,Total - Household income statistics,2016,190
5909016,    Fraser Valley B,      One couple census family without other persons in the household,  Median total income of households ($),2016,64e3
5909016,    Fraser Valley B,      One couple census family without other persons in the household,  Median after-tax income of households ($),2016,58880
5909016,    Fraser Valley B,        Without children,Total - Household income statistics,2016,130
5909016,    Fraser Valley B,        Without children,  Median total income of households ($),2016,51520
5909016,    Fraser Valley B,        Without children,  Median after-tax income of households ($),2016,46272
5909016,    Fraser Valley B,        With children,Total - Household income statistics,2016,55
5909016,    Fraser Valley B,        With children,  Median total income of households ($),2016,89344
5909016,    Fraser Valley B,        With children,  Median after-tax income of households ($),2016,76032
5909016,    Fraser Valley B,      One lone-parent census family without other persons in the household,Total - Household income statistics,2016,10
5909016,    Fraser Valley B,      One lone-parent census family without other persons in the household,  Median total income of households ($),2016,0
5909016,    Fraser Valley B,      One lone-parent census family without other persons in the household,  Median after-tax income of households ($),2016,0
5909016,    Fraser Valley B,        With a male lone parent,Total - Household income statistics,2016,0
5909016,    Fraser Valley B,        With a male lone parent,  Median total income of households ($),2016,0
5909016,    Fraser Valley B,        With a male lone parent,  Median after-tax income of households ($),2016,0
5909016,    Fraser Valley B,        With a female lone parent,Total - Household income statistics,2016,10
5909016,    Fraser Valley B,        With a female lone parent,  Median total income of households ($),2016,0
5909016,    Fraser Valley B,        With a female lone parent,  Median after-tax income of households ($),2016,0
5909016,    Fraser Valley B,    Other census family households,Total - Household income statistics,2016,20
5909016,    Fraser Valley B,    Other census family households,  Median total income of households ($),2016,0
5909016,    Fraser Valley B,    Other census family households,  Median after-tax income of households ($),2016,0
5909016,    Fraser Valley B,  Non-census-family households,Total - Household income statistics,2016,175
5909016,    Fraser Valley B,  Non-census-family households,  Median total income of households ($),2016,25664
5909016,    Fraser Valley B,  Non-census-family households,  Median after-tax income of households ($),2016,23168
5909020,    Chilliwack,Total - Household type including census family structure,Total - Household income statistics,2016,32440
5909020,    Chilliwack,Total - Household type including census family structure,  Median total income of households ($),2016,67800
5909020,    Chilliwack,Total - Household type including census family structure,  Median after-tax income of households ($),2016,59785
5909020,    Chilliwack,  Census family households,Total - Household income statistics,2016,22875
5909020,    Chilliwack,  Census family households,  Median total income of households ($),2016,85e3
5909020,    Chilliwack,  Census family households,  Median after-tax income of households ($),2016,74408
5909020,    Chilliwack,    One-census-family households without additional persons,Total - Household income statistics,2016,20260
5909020,    Chilliwack,    One-census-family households without additional persons,  Median total income of households ($),2016,82272
5909020,    Chilliwack,    One-census-family households without additional persons,  Median after-tax income of households ($),2016,71856
5909020,    Chilliwack,      One couple census family without other persons in the household,Total - Household income statistics,2016,17420
5909020,    Chilliwack,      One couple census family without other persons in the household,  Median total income of households ($),2016,88631
5909020,    Chilliwack,      One couple census family without other persons in the household,  Median after-tax income of households ($),2016,76912
5909020,    Chilliwack,        Without children,Total - Household income statistics,2016,9010
5909020,    Chilliwack,        Without children,  Median total income of households ($),2016,73728
5909020,    Chilliwack,        Without children,  Median after-tax income of households ($),2016,65052
5909020,    Chilliwack,        With children,Total - Household income statistics,2016,8405
5909020,    Chilliwack,        With children,  Median total income of households ($),2016,104157
5909020,    Chilliwack,        With children,  Median after-tax income of households ($),2016,89685
5909020,    Chilliwack,      One lone-parent census family without other persons in the household,Total - Household income statistics,2016,2845
5909020,    Chilliwack,      One lone-parent census family without other persons in the household,  Median total income of households ($),2016,45389
5909020,    Chilliwack,      One lone-parent census family without other persons in the household,  Median after-tax income of households ($),2016,42254
5909020,    Chilliwack,        With a male lone parent,Total - Household income statistics,2016,580
5909020,    Chilliwack,        With a male lone parent,  Median total income of households ($),2016,64896
5909020,    Chilliwack,        With a male lone parent,  Median after-tax income of households ($),2016,56384
5909020,    Chilliwack,        With a female lone parent,Total - Household income statistics,2016,2265
5909020,    Chilliwack,        With a female lone parent,  Median total income of households ($),2016,41819
5909020,    Chilliwack,        With a female lone parent,  Median after-tax income of households ($),2016,39339
5909020,    Chilliwack,    Other census family households,Total - Household income statistics,2016,2615
5909020,    Chilliwack,    Other census family households,  Median total income of households ($),2016,111200
5909020,    Chilliwack,    Other census family households,  Median after-tax income of households ($),2016,98914
5909020,    Chilliwack,  Non-census-family households,Total - Household income statistics,2016,9565
5909020,    Chilliwack,  Non-census-family households,  Median total income of households ($),2016,34458
5909020,    Chilliwack,  Non-census-family households,  Median after-tax income of households ($),2016,31200
5909027,    Harrison Hot Springs,Total - Household type including census family structure,Total - Household income statistics,2016,720
5909027,    Harrison Hot Springs,Total - Household type including census family structure,  Median total income of households ($),2016,56875
5909027,    Harrison Hot Springs,Total - Household type including census family structure,  Median after-tax income of households ($),2016,51392
5909027,    Harrison Hot Springs,  Census family households,Total - Household income statistics,2016,465
5909027,    Harrison Hot Springs,  Census family households,  Median total income of households ($),2016,72192
5909027,    Harrison Hot Springs,  Census family households,  Median after-tax income of households ($),2016,65280
5909027,    Harrison Hot Springs,    One-census-family households without additional persons,Total - Household income statistics,2016,435
5909027,    Harrison Hot Springs,    One-census-family households without additional persons,  Median total income of households ($),2016,70912
5909027,    Harrison Hot Springs,    One-census-family households without additional persons,  Median after-tax income of households ($),2016,64384
5909027,    Harrison Hot Springs,      One couple census family without other persons in the household,Total - Household income statistics,2016,405
5909027,    Harrison Hot Springs,      One couple census family without other persons in the household,  Median total income of households ($),2016,72704
5909027,    Harrison Hot Springs,      One couple census family without other persons in the household,  Median after-tax income of households ($),2016,65536
5909027,    Harrison Hot Springs,        Without children,Total - Household income statistics,2016,310
5909027,    Harrison Hot Springs,        Without children,  Median total income of households ($),2016,67712
5909027,    Harrison Hot Springs,        Without children,  Median after-tax income of households ($),2016,60672
5909027,    Harrison Hot Springs,        With children,Total - Household income statistics,2016,90
5909027,    Harrison Hot Springs,        With children,  Median total income of households ($),2016,97792
5909027,    Harrison Hot Springs,        With children,  Median after-tax income of households ($),2016,86016
5909027,    Harrison Hot Springs,      One lone-parent census family without other persons in the household,Total - Household income statistics,2016,35
