year,rgn_id,non_fn_median_income
2001,1,54233.66
2002,1,54605.422000000006
2003,1,54977.184
2004,1,55348.946
2005,1,55720.708
2006,1,56092.47
2007,1,56602.526
2008,1,57112.582
2009,1,57622.638
2010,1,58132.694
2011,1,58642.75
2012,1,62611.056
2013,1,66579.362
2014,1,70547.668
2015,1,74515.974
2016,1,78484.28
2001,2,49929.96
2002,2,49034.515999999996
2003,2,48139.072
2004,2,47243.628
2005,2,46348.184
2006,2,45452.74
2007,2,48164.378
2008,2,50876.016
2009,2,53587.653999999995
2010,2,56299.292
2011,2,59010.93
2012,2,59571.632
2013,2,60132.334
2014,2,60693.036
2015,2,61253.738000000005
2016,2,61814.44
2001,3,35513.29
2002,3,36176.618
2003,3,36839.946
2004,3,37503.274
2005,3,38166.602
2006,3,38829.93
2007,3,43251.968
2008,3,47674.006
2009,3,52096.044
2010,3,56518.082
2011,3,60940.12
2012,3,59212.476
2013,3,57484.832
2014,3,55757.188
2015,3,54029.544
2016,3,52301.9
2001,4,48281.64
2002,4,48708.99
2003,4,49136.34
2004,4,49563.69
2005,4,49991.04
2006,4,50418.39
2007,4,51769.056
2008,4,53119.722
2009,4,54470.388
2010,4,55821.054000000004
2011,4,57171.72
2012,4,58393.61
2013,4,59615.5
2014,4,60837.39
2015,4,62059.28
2016,4,63281.17
2001,5,46184.51
2002,5,47749.76
2003,5,49315.01
2004,5,50880.26
2005,5,52445.51
2006,5,54010.76
2007,5,55515.880000000005
2008,5,57021
2009,5,58526.12
2010,5,60031.240000000005
2011,5,61536.36
2012,5,63172.998
2013,5,64809.636
2014,5,66446.274
2015,5,68082.912
2016,5,69719.55
2001,6,49751.48
2002,6,50937.796
2003,6,52124.112
2004,6,53310.428
2005,6,54496.744
2006,6,55683.06
2007,6,57226.254
2008,6,58769.448
2009,6,60312.642
2010,6,61855.835999999996
2011,6,63399.03
2012,6,65293.838
2013,6,67188.64600000001
2014,6,69083.454
2015,6,70978.262
2016,6,72873.07
