year,rgn_id,n_cells,n_cells_tot,n_cells_cum,a_tot_km2,a_prot_km2,pct_prot,lsp_status
1.0,1,7,1829,7,457.25,1.75,0.0038,1.27
1960.0,1,1,1829,8,457.25,2.0,0.0044,1.47
1961.0,1,1,1829,8,457.25,2.0,0.0044,1.47
1962.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1963.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1964.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1965.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1966.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1967.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1968.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1969.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1970.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1971.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1972.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1973.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1974.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1975.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1976.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1977.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1978.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1979.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1980.0,1,0,1829,8,457.25,2.0,0.0044,1.47
1981.0,1,3,1829,11,457.25,2.75,0.006,2.0
1982.0,1,0,1829,11,457.25,2.75,0.006,2.0
1983.0,1,0,1829,11,457.25,2.75,0.006,2.0
1984.0,1,0,1829,11,457.25,2.75,0.006,2.0
1985.0,1,0,1829,11,457.25,2.75,0.006,2.0
1986.0,1,0,1829,11,457.25,2.75,0.006,2.0
1987.0,1,0,1829,11,457.25,2.75,0.006,2.0
1988.0,1,0,1829,11,457.25,2.75,0.006,2.0
1989.0,1,0,1829,11,457.25,2.75,0.006,2.0
1990.0,1,0,1829,11,457.25,2.75,0.006,2.0
1991.0,1,0,1829,11,457.25,2.75,0.006,2.0
1992.0,1,0,1829,11,457.25,2.75,0.006,2.0
1993.0,1,0,1829,11,457.25,2.75,0.006,2.0
1994.0,1,0,1829,11,457.25,2.75,0.006,2.0
1995.0,1,0,1829,11,457.25,2.75,0.006,2.0
1996.0,1,0,1829,11,457.25,2.75,0.006,2.0
1997.0,1,0,1829,11,457.25,2.75,0.006,2.0
1998.0,1,0,1829,11,457.25,2.75,0.006,2.0
1999.0,1,0,1829,11,457.25,2.75,0.006,2.0
2e3,1,0,1829,11,457.25,2.75,0.006,2.0
2001.0,1,0,1829,11,457.25,2.75,0.006,2.0
2002.0,1,0,1829,11,457.25,2.75,0.006,2.0
2003.0,1,0,1829,11,457.25,2.75,0.006,2.0
2004.0,1,0,1829,11,457.25,2.75,0.006,2.0
2005.0,1,0,1829,11,457.25,2.75,0.006,2.0
2006.0,1,0,1829,11,457.25,2.75,0.006,2.0
2007.0,1,2,1829,13,457.25,3.25,0.0071,2.37
2008.0,1,0,1829,13,457.25,3.25,0.0071,2.37
2009.0,1,0,1829,13,457.25,3.25,0.0071,2.37
2010.0,1,0,1829,13,457.25,3.25,0.0071,2.37
2011.0,1,0,1829,13,457.25,3.25,0.0071,2.37
2012.0,1,0,1829,13,457.25,3.25,0.0071,2.37
2013.0,1,0,1829,13,457.25,3.25,0.0071,2.37
2014.0,1,0,1829,13,457.25,3.25,0.0071,2.37
2015.0,1,0,1829,13,457.25,3.25,0.0071,2.37
2016.0,1,0,1829,13,457.25,3.25,0.0071,2.37
