year,stock,esc,esc_tgt,c_er,c_er_tgt,esc_avail,catch_avail
2009,CH AABM NC,NA,NA,109470,139100,0,7
2010,CH AABM NC,NA,NA,136613,160400,0,7
2011,CH AABM NC,NA,NA,122660,186800,0,7
2012,CH AABM NC,NA,NA,120307,149500,0,7
2013,CH AABM NC,NA,NA,115914,220300,0,7
2014,CH AABM NC,NA,NA,216901,262600,0,7
2015,CH AABM NC,NA,NA,158903,246600,0,7
2016,CH AABM NC,NA,NA,190181,NA,0,7
2009,CH AABM WCVI,NA,NA,124617,91300,0,8
2010,CH AABM WCVI,NA,NA,139047,142300,0,8
2011,CH AABM WCVI,NA,NA,204232,134800,0,8
2012,CH AABM WCVI,NA,NA,134468,113800,0,8
2013,CH AABM WCVI,NA,NA,113598,178000,0,8
2014,CH AABM WCVI,NA,NA,188400,191700,0,8
2015,CH AABM WCVI,NA,NA,116700,179700,0,8
2016,CH AABM WCVI,NA,NA,99600,104800,0,8
2005,FRS ES,98500,171000,NA,NA,9,8
2006,FRS ES,36000,54000,NA,NA,9,8
2007,FRS ES,5300,13000,6,10,9,8
2008,FRS ES,29900,34100,8,10,9,8
2009,FRS ES,45000,82000,10,10,9,8
2010,FRS ES,60300,104900,6,10,9,8
2011,FRS ES,800,21200,8,10,9,8
2012,FRS ES,26200,74000,5,10,9,8
2013,FRS ES,NA,NA,6,10,9,8
2014,FRS ES,NA,NA,13,10,9,8
2015,FRS ES,10100,28700,NA,NA,9,8
2005,FRS ESum,224700,322000,NA,NA,9,8
2006,FRS ESum,392000,728000,NA,NA,9,8
2007,FRS ESum,123000,174000,14,0,9,8
2008,FRS ESum,188700,181300,29,58,9,8
2009,FRS ESum,91600,177000,11,0,9,8
2010,FRS ESum,1529800,1201000,33,46,9,8
2011,FRS ESum,228900,226100,34,44,9,8
2012,FRS ESum,273300,212100,15,40,9,8
2013,FRS ESum,NA,NA,11,28,9,8
2014,FRS ESum,NA,NA,46,50,9,8
2015,FRS ESum,135600,134000,NA,NA,9,8
2005,FRS Sum,2455000,3375000,NA,NA,9,8
2006,FRS Sum,815000,1947000,NA,NA,9,8
2007,FRS Sum,431000,600000,22,8,9,8
2008,FRS Sum,564400,520000,40,47,9,8
2009,FRS Sum,477700,520000,9,0,9,8
2010,FRS Sum,2990500,2302400,45,54,9,8
2011,FRS Sum,1052100,810600,50,60,9,8
2012,FRS Sum,559300,651000,40,45,9,8
2013,FRS Sum,NA,NA,16,10,9,8
2014,FRS Sum,NA,NA,57,61,9,8
2015,FRS Sum,974800,1448000,NA,NA,9,8
2005,FRS Late,470800,NA,NA,NA,8,7
2006,FRS Late,3129000,3184000,NA,NA,8,7
2007,FRS Late,229200,415000,NA,0,8,7
2008,FRS Late,10300,144300,17,20,8,7
2009,FRS Late,379500,503000,4,20,8,7
2010,FRS Late,8550300,7760500,40,46,8,7
2011,FRS Late,491300,449700,25,46,8,7
2012,FRS Late,61500,261100,193,20,8,7
2013,FRS Late,NA,NA,83,20,8,7
2014,FRS Late,NA,NA,583,63,8,7
2015,FRS Late,68000,118100,NA,NA,8,7
2005,Pink FR,8939600,6000000,1060400,4000000,5,5
2006,Pink FR,NA,NA,NA,NA,5,5
2007,Pink FR,10160100,6000000,839900,5000000,5,5
2008,Pink FR,NA,NA,NA,NA,5,5
2009,Pink FR,15428800,6000000,4564200,13500000,5,5
2010,Pink FR,NA,NA,NA,NA,5,5
2011,Pink FR,12788400,6000000,7860600,12300000,5,5
2012,Pink FR,NA,NA,NA,NA,5,5
2013,Pink FR,NA,NA,NA,NA,5,5
2014,Pink FR,NA,NA,NA,NA,5,5
2015,Pink FR,5315800,5069300,463100,710200,5,5
2004,S Stikine - Tahltan,58710,18000,84886,121183,11,11
2005,S Stikine - Tahltan,39641,18000,85890,104140,11,11
2006,S Stikine - Tahltan,50052,18000,101000,115200,11,11
2007,S Stikine - Tahltan,18035,18000,59000,77200,11,11
2008,S Stikine - Tahltan,8052,18000,33613,18600,11,11
2009,S Stikine - Tahltan,27312,18000,48000,56200,11,11
2010,S Stikine - Tahltan,18350,18000,53336,47361,11,11
2011,S Stikine - Tahltan,29689,18000,58000,73700,11,11
2012,S Stikine - Tahltan,9514,18000,33300,23500,11,11
2013,S Stikine - Tahltan,NA,NA,NA,NA,11,11
2014,S Stikine - Tahltan,36864,18000,41000,46400,11,11
2015,S Stikine - Tahltan,29288,18000,60046,57760,11,11
2016,S Stikine - Tahltan,NA,NA,NA,NA,11,11
2004,S Stikine - Non-Tahltan,30125,20000,NA,NA,11,0
2005,S Stikine - Non-Tahltan,30500,20000,NA,NA,11,0
2006,S Stikine - Non-Tahltan,43300,20000,NA,NA,11,0
2007,S Stikine - Non-Tahltan,27000,20000,NA,NA,11,0
2008,S Stikine - Non-Tahltan,14500,20000,NA,NA,11,0
2009,S Stikine - Non-Tahltan,23300,20000,NA,NA,11,0
2010,S Stikine - Non-Tahltan,25163,20000,NA,NA,11,0
2011,S Stikine - Non-Tahltan,33651,20000,NA,NA,11,0
2012,S Stikine - Non-Tahltan,33612,20000,NA,NA,11,0
2013,S Stikine - Non-Tahltan,NA,NA,NA,NA,11,0
2014,S Stikine - Non-Tahltan,26500,20000,NA,NA,11,0
2015,S Stikine - Non-Tahltan,39094,20000,NA,NA,11,0
2016,S Stikine - Non-Tahltan,NA,NA,NA,NA,11,0
2004,S Skeena,NA,1050000,28,26,7,3
2005,S Skeena,NA,1050000,15.9,26,7,3
2006,S Skeena,NA,1050000,50.1,31,7,3
2007,S Skeena,NA,1050000,29.7,NA,7,3
2008,S Skeena,NA,1050000,54.3,NA,7,3
2009,S Skeena,840000,1050000,16.5,NA,7,3
2010,S Skeena,829182,1050000,24.4,NA,7,3
2011,S Skeena,1450000,1050000,40.4,NA,7,3
2012,S Skeena,1200000,1050000,42,NA,7,3
2013,S Skeena,440000,1050000,8.3,NA,7,3
2014,S Skeena,2320000,900000,36.6,NA,7,3
2015,S Skeena,1680000,900000,23.5,NA,7,3
