sciname,comname,trend
Acipenser medirostris,Green Sturgeon,-0
Acipenser transmontanus,White Sturgeon Lower Fraser River population,-0.05315
Acipenser transmontanus,White Sturgeon Upper Columbia River population,-0.09535
Acipenser transmontanus,White Sturgeon Upper Fraser River population,-0.09535
Acipenser transmontanus,White Sturgeon Upper Kootenay River population,-0.09535
Anarrhichthys ocellatus,Wolf-eel,NA
Ardenna creatopus,Pink-footed Shearwater,-0.08335000000000001
Balaenoptera borealis,Sei Whale Pacific population,0
Balaenoptera musculus,Blue Whale Pacific population,-0.07375
Balaenoptera physalus,Fin Whale Pacific population,-0.05555
Bathyraja interrupta,Sandpaper Skate,NA
Berardius bairdii,Baird's Beaked Whale,NA
Brachyramphus marmoratus,Marbled Murrelet,-0
Callorhinus ursinus,Northern Fur Seal,-0.23074999999999998
Cetorhinus maximus,Basking Shark Pacific population,NA
Chlidonias niger,Black Tern,NA
Chordeiles minor,Common Nighthawk,NA
Cygnus buccinator,Trumpeter Swan,0.1111
Delphinus delphis,Short-beaked Common Dolphin,NA
Dermochelys coriacea,Leatherback Sea Turtle Pacific population,-0
Enhydra lutris,Sea Otter,0.0735
Eschrichtius robustus,Grey Whale Eastern North Pacific population,-0.11764999999999999
Eubalaena japonica,North Pacific Right Whale,0
Eumetopias jubatus,Steller Sea Lion,-0.0814
Falco columbarius,Merlin,NA
Fulica americana,American Coot,NA
Galeorhinus galeus,Tope,NA
Gasterosteus aculeatus,Enos Lake Benthic Threespine Stickleback,-0.0436
Gasterosteus aculeatus,Enos Lake Limnetic Threespine Stickleback,-0.0436
Gasterosteus aculeatus,Giant Threespine Stickleback,0
Gasterosteus aculeatus,Hadley Lake Benthic Threespine Stickleback,0
Gasterosteus aculeatus,Hadley Lake Limnetic Threespine Stickleback,0
Gasterosteus aculeatus,Little Quarry Lake Benthic Threespine Stickleback,NA
Gasterosteus aculeatus,Little Quarry Lake Limnetic Threespine Stickleback,NA
Gasterosteus aculeatus,Misty Lake Lentic Threespine Stickleback,NA
Gasterosteus aculeatus,Misty Lake Lotic Threespine Stickleback,NA
Gasterosteus aculeatus,Paxton Lake Benthic Threespine Stickleback,-0.0701
Gasterosteus aculeatus,Paxton Lake Limnetic Threespine Stickleback,-0.0701
Gasterosteus aculeatus,Unarmoured Threespine Stickleback,0
Gasterosteus aculeatus,Vananda Creek Benthic Threespine Stickleback,-0.05405
Gasterosteus aculeatus,Vananda Creek Limnetic Threespine Stickleback,-0.05405
Gavia adamsii,Yellow-billed Loon,NA
Gavia immer,Common Loon,NA
Globicephala macrorhynchus,Short-finned Pilot Whale,NA
Grampus griseus,Risso's Dolphin,NA
Haliaeetus leucocephalus,Bald Eagle,NA
Haliotis kamtschatkana,Northern Abalone,-0.10439999999999999
Hexanchus griseus,Bluntnose Sixgill Shark,NA
Kogia breviceps,Pygmy Sperm Whale,NA
Lagenorhynchus obliquidens,Pacific White-sided Dolphin,NA
Lissodelphis borealis,Northern Right Whale Dolphin,NA
Megaptera novaeangliae,Humpback Whale North Pacific population,0.02675
Mesoplodon carlhubbsi,Hubbs' Beaked Whale,NA
Mirounga angustirostris,Northern Elephant Seal,NA
Numenius americanus,Long-billed Curlew,-0
Oncorhynchus kisutch,Coho Salmon Interior Fraser population,0.07145
Oncorhynchus nerka,Sockeye Salmon Cultus population,0
Oncorhynchus nerka,Sockeye Salmon Sakinaw population,0
Oncorhynchus tshawytscha,Chinook Salmon Okanagan population,-0.0376
Orcinus orca,Killer Whale Northeast Pacific northern resident population,-0
Orcinus orca,Killer Whale Northeast Pacific offshore population,-0.0373
Orcinus orca,Killer Whale Northeast Pacific southern resident population,-0.0821
Orcinus orca,Killer Whale Northeast Pacific transient population,-0.5
Ostrea lurida,Olympia Oyster,NA
Pelecanus erythrorhynchos,American White Pelican,0.33335
Phocoenoides dalli,Dall's Porpoise,NA
Physeter macrocephalus,Sperm Whale,NA
Podiceps grisegena,Red-necked Grebe,NA
Prionace glauca,Blue Shark North Pacific population,NA
Pseudorca crassidens,False Killer Whale,NA
Ptychoramphus aleuticus,Cassin's Auklet,NA
Raja rhina,Longnose Skate,NA
Sebastes crameri,Darkblotched Rockfish,NA
Sebastes maliger,Quillback Rockfish,NA
Sebastes pinniger,Canary Rockfish,NA
Sebastes reedi,Yellowmouth Rockfish,NA
Sebastes ruberrimus,Yelloweye Rockfish Pacific Ocean inside waters population,NA
Sebastes ruberrimus,Yelloweye Rockfish Pacific Ocean outside waters population,NA
Sebastolobus altivelis,Longspine Thornyhead,NA
Squalus suckleyi,North Pacific Spiny Dogfish,NA
Stenella coeruleoalba,Striped Dolphin,NA
Synthliboramphus antiquus,Ancient Murrelet,-0
Thaleichthys pacificus,Eulachon Central Pacific Coast population,NA
Thaleichthys pacificus,Eulachon Fraser River population,NA
Thaleichthys pacificus,Eulachon Nass  Skeena Rivers population,0.5
Zalophus californianus,California Sea Lion,NA
Ziphius cavirostris,Cuvier's Beaked Whale,NA
