rgn_id,habitat,km2
1,mangrove,0.0
1,mangrove_inland1km,0.0
1,mangrove_offshore,0.0
1,rocky_reef,4860.51
1,saltmarsh,440.0
1,seagrass,3.493
1,soft_bottom,2721990.0
1,seaice_edge,502488.162878788
1,seaice_shoreline,700056.818181818
2,mangrove,0.0
2,mangrove_inland1km,0.0
2,mangrove_offshore,0.0
2,rocky_reef,4860.51
2,saltmarsh,440.0
2,seagrass,3.493
2,soft_bottom,2721990.0
2,seaice_edge,502488.162878788
2,seaice_shoreline,700056.818181818
3,mangrove,0.0
3,mangrove_inland1km,0.0
3,mangrove_offshore,0.0
3,rocky_reef,4860.51
3,saltmarsh,440.0
3,seagrass,3.493
3,soft_bottom,2721990.0
3,seaice_edge,502488.162878788
3,seaice_shoreline,700056.818181818
4,mangrove,0.0
4,mangrove_inland1km,0.0
4,mangrove_offshore,0.0
4,rocky_reef,4860.51
4,saltmarsh,440.0
4,seagrass,3.493
4,soft_bottom,2721990.0
4,seaice_edge,502488.162878788
4,seaice_shoreline,700056.818181818
5,mangrove,0.0
5,mangrove_inland1km,0.0
5,mangrove_offshore,0.0
5,rocky_reef,4860.51
5,saltmarsh,440.0
5,seagrass,3.493
5,soft_bottom,2721990.0
5,seaice_edge,502488.162878788
5,seaice_shoreline,700056.818181818
6,mangrove,0.0
6,mangrove_inland1km,0.0
6,mangrove_offshore,0.0
6,rocky_reef,4860.51
6,saltmarsh,440.0
6,seagrass,3.493
6,soft_bottom,2721990.0
6,seaice_edge,502488.162878788
6,seaice_shoreline,700056.818181818
7,mangrove,0.0
7,mangrove_inland1km,0.0
7,mangrove_offshore,0.0
7,rocky_reef,4860.51
7,saltmarsh,440.0
7,seagrass,3.493
7,soft_bottom,2721990.0
7,seaice_edge,502488.162878788
7,seaice_shoreline,700056.818181818
8,mangrove,0.0
8,mangrove_inland1km,0.0
8,mangrove_offshore,0.0
8,rocky_reef,4860.51
8,saltmarsh,440.0
8,seagrass,3.493
8,soft_bottom,2721990.0
8,seaice_edge,502488.162878788
8,seaice_shoreline,700056.818181818
